2026-03-18T04:55:06.476Z | GET /health | 5ms | success
2026-03-18T04:55:06.492Z | GET /health | 1ms | success
2026-03-18T04:56:10.613Z | POST /api/triage | 59320ms | success
2026-03-18T04:56:10.614Z | POST /api/triage | 59321ms | success
2026-03-18T05:03:44.611Z | GET /health | 3ms | success
2026-03-18T05:03:44.619Z | GET /health | 1ms | success
2026-03-18T05:04:43.870Z | POST /api/triage | 55017ms | success
2026-03-18T05:04:43.871Z | POST /api/triage | 55018ms | success
2026-03-18T05:16:15.855Z | GET /health | 3ms | success
2026-03-18T05:16:15.865Z | GET /health | 1ms | success
2026-03-18T06:57:22.314Z | GET /health | 4ms | success
2026-03-18T06:57:22.321Z | GET /health | 1ms | success
2026-03-18T06:58:00.895Z | GET /health | 2ms | success
2026-03-18T06:58:00.898Z | GET /health | 0ms | success
2026-03-18T06:58:59.910Z | POST /api/triage | 54842ms | success
2026-03-18T06:58:59.911Z | POST /api/triage | 54844ms | success
2026-03-18T07:22:06.135Z | POST /api/triage | 10247ms | success
2026-03-18T07:24:07.391Z | POST /api/triage | 381ms | success
2026-03-18T07:24:46.604Z | POST /api/triage | 1ms | success
2026-03-18T07:24:53.578Z | POST /api/compare | 421ms | success
2026-03-18T07:27:13.685Z | GET /health | 1ms | success
2026-03-18T07:27:13.686Z | GET /health | 0ms | success
2026-03-18T07:27:17.557Z | POST /api/triage | 548ms | success
2026-03-18T07:37:28.273Z | GET /health | 10ms | success
2026-03-18T07:37:28.290Z | GET /health | 1ms | success
2026-03-18T07:37:31.075Z | POST /api/triage | 19ms | success
2026-03-18T07:39:50.992Z | GET /health | 0ms | success
2026-03-18T07:40:27.713Z | GET /health | 0ms | success
2026-03-18T07:40:27.716Z | GET /health | 0ms | success
2026-03-18T07:40:31.463Z | POST /api/triage | 4ms | success
2026-03-18T07:40:43.710Z | POST /api/compare | 830ms | success
2026-03-18T07:51:34.842Z | GET /health | 6ms | success
2026-03-18T07:51:34.850Z | GET /health | 1ms | success
2026-03-18T07:55:13.841Z | GET /health | 3ms | success
2026-03-18T07:55:13.845Z | GET /health | 1ms | success
2026-03-18T07:55:17.051Z | POST /api/triage | 26ms | success
2026-03-18T07:58:14.412Z | GET /health | 1ms | success
2026-03-18T07:58:14.414Z | GET /health | 0ms | success
2026-03-18T07:58:18.296Z | POST /api/triage | 8ms | success
2026-03-18T08:00:55.739Z | GET /health | 1ms | success
2026-03-18T08:00:55.741Z | GET /health | 0ms | success
2026-03-18T08:06:50.019Z | POST /api/triage | 4ms | success
2026-03-18T08:07:21.796Z | GET /health | 0ms | success
2026-03-18T08:07:21.799Z | GET /health | 0ms | success
2026-03-18T09:13:05.077Z | POST /api/triage | 830ms | success
2026-03-18T09:18:51.473Z | GET /health | 5ms | success
2026-03-18T09:18:51.479Z | GET /health | 0ms | success
2026-03-18T09:18:56.145Z | POST /api/triage | 17ms | success
2026-03-18T09:20:08.625Z | GET /health | 0ms | success
2026-03-18T09:20:08.627Z | GET /health | 0ms | success
2026-03-18T09:20:11.272Z | POST /api/triage | 8ms | success
2026-03-18T09:24:06.175Z | GET /api/health | 37ms | success
2026-03-18T09:24:21.107Z | POST /api/triage/detailed | 972ms | success
2026-03-18T09:24:33.429Z | POST /api/triage/detailed | 999ms | success
2026-03-18T09:31:20.468Z | GET /health | 4ms | success
2026-03-18T09:31:20.476Z | GET /health | 1ms | success
2026-03-18T09:31:24.674Z | POST /api/triage | 734ms | success
2026-03-18T09:33:55.082Z | POST /api/triage | 644ms | success
2026-03-18T09:40:26.976Z | GET /health | 0ms | success
2026-03-18T09:42:27.990Z | GET /health | 0ms | success
2026-03-18T09:42:48.964Z | GET /health | 0ms | success
2026-03-18T09:43:41.966Z | GET /health | 1ms | success
2026-03-18T09:44:30.629Z | GET /health | 1ms | success
2026-03-18T09:44:30.632Z | GET /health | 0ms | success
2026-03-18T09:44:36.619Z | POST /api/triage | 12ms | success
2026-03-18T09:49:35.950Z | GET /health | 1ms | success
2026-03-18T09:50:12.984Z | GET /health | 1ms | success
2026-03-18T09:50:13.001Z | GET /api/history?limit=20 | 1ms | error
2026-03-18T09:50:13.006Z | GET /api/history?limit=20 | 0ms | error
2026-03-18T09:50:13.009Z | GET /health | 0ms | success
2026-03-18T09:50:31.681Z | GET /api/history?limit=20 | 1ms | error
2026-03-18T09:50:31.684Z | GET /health | 0ms | success
2026-03-18T09:50:31.689Z | GET /api/history?limit=20 | 1ms | error
2026-03-18T09:50:31.694Z | GET /health | 1ms | success
2026-03-18T09:50:41.934Z | POST /api/triage | 26ms | success
2026-03-18T09:51:16.412Z | POST /api/triage | 3ms | success
2026-03-18T09:51:26.241Z | GET /api/history?limit=20 | 0ms | error
2026-03-18T09:56:26.906Z | GET /api/history | 0ms | error
2026-03-18T09:57:14.855Z | GET /health | 0ms | success
2026-03-18T09:57:49.032Z | GET /api/health | 55ms | success
2026-03-18T09:58:15.813Z | GET /api/history/ | 0ms | error
2026-03-18T10:01:27.049Z | GET /api/history | 6ms | success
2026-03-18T10:03:16.105Z | GET /api/history | 7ms | success
2026-03-18T10:03:16.221Z | GET /favicon.ico | 1ms | error
2026-03-18T10:03:31.340Z | GET / | 1ms | error
